# PHCEP: Photonic Heterogeneous Compute Emulation Platform
# Experimental Photodiode Characterization Data
# Test Date: 2025-11-08 17:24:44
# Test Protocol: Discrete Photodiode Characterization
# Units: SI base units unless otherwise specified
#
test_type,wavelength_nm,optical_power_W,voltage_V,temperature_K,responsivity_A_W,quantum_efficiency,photocurrent_A,dark_current_A,shot_noise_A,thermal_noise_A,total_noise_A,signal_to_noise_ratio
wavelength_sweep,1089.795918367347,0.001,5,293,0.30355286192020625,0.34538995524024385,0.00030354086414021114,1.5e-12,9.861769305338857e-09,4.021641455923191e-12,9.86177012535395e-09,30779.55192443879
wavelength_sweep,1116.3265306122448,0.001,5,293,0.20173934575145713,0.22408867570340635,0.00020173137210142668,1.5e-12,8.03957291045346e-09,4.021641455923191e-12,8.039573916327724e-09,25092.29664419486
wavelength_sweep,1142.857142857143,0.001,5,293,0.11681573230329644,0.1267447377690629,0.00011681111521799774,1.5e-12,6.117702369112645e-09,4.021641455923191e-12,6.1177036909813205e-09,19093.94809202674
wavelength_sweep,1169.387755102041,0.001,5,293,0.06526698358637213,0.06920788031268452,6.526440394042492e-05,1.5e-12,4.572823633567354e-09,4.021641455923191e-12,4.572825402014835e-09,14272.227715422663
wavelength_sweep,1195.9183673469388,0.001,5,293,0.035186634515584556,0.03648352076264447,3.518524378088017e-05,1.5e-12,3.357581431416669e-09,4.021641455923191e-12,3.3575838399352008e-09,10479.334830715417
wavelength_sweep,1222.4489795918366,0.001,5,293,0.018304746314433414,0.018567503750807395,1.8304022828191976e-05,1.5e-12,2.4216956611747707e-09,4.021641455923191e-12,2.4216990004855498e-09,7558.339960714369
wavelength_sweep,1248.9795918367347,0.001,5,293,0.009188839709627689,0.009122752275508569,9.18847652518413e-06,1.5e-12,1.715805595010401e-09,4.021641455923191e-12,1.7158103081252882e-09,5355.182902021119
wavelength_sweep,1275.5102040816328,0.001,5,293,0.0044512011056744025,0.004327268339391385,4.451025174104388e-06,1.5e-12,1.1941982360492103e-09,4.021641455923191e-12,1.1942050077700417e-09,3727.1880834060994
wavelength_sweep,1302.0408163265306,0.001,5,293,0.0020807572016643106,0.001981606216711956,2.080674960742677e-06,1.5e-12,8.164858961561758e-10,4.021641455923191e-12,8.164958004925399e-10,2548.300260071806
wavelength_sweep,1328.5714285714284,0.001,5,293,0.000938643827902783,0.000876065279431014,9.386067284596424e-07,1.5e-12,5.483890562351417e-10,4.021641455923191e-12,5.48403802501833e-10,1711.5275717959764
wavelength_sweep,1355.1020408163265,0.001,5,293,0.00040862281910599135,0.00037391351652012075,4.086066684867759e-07,1.5e-12,3.6182666814811066e-10,4.021641455923191e-12,3.618490173859299e-10,1129.2228218239848
wavelength_sweep,1381.6326530612246,0.001,5,293,0.00017166963538897608,0.00015407119264364955,1.7166285022969866e-07,1.5e-12,2.3452449427212387e-10,4.021641455923191e-12,2.3455897342373295e-10,731.8600850097746
wavelength_sweep,1408.1632653061224,0.001,5,293,6.960168764431151e-05,6.128967349329563e-05,6.959893667128373e-08,1.5e-12,1.4933338712250288e-10,4.021641455923191e-12,1.4938752996645775e-10,465.9052645619835
wavelength_sweep,1434.6938775510205,0.001,5,293,2.7233750313796535e-05,2.353795643678507e-05,2.7232673912992268e-08,1.5e-12,9.341472004840952e-11,4.021641455923191e-12,9.35012487709267e-11,291.2706971402554
wavelength_sweep,1461.2244897959183,0.001,5,293,1.0284002636556001e-05,8.727016264166568e-06,1.0283596166327644e-08,1.5e-12,5.740927983951181e-11,4.021641455923191e-12,5.754996969322727e-11,178.71592671816887
wavelength_sweep,1487.7551020408164,0.001,5,293,3.7479112607526505e-06,3.1237653236433454e-06,3.747763126373474e-09,1.5e-12,3.46661867774646e-11,4.021641455923191e-12,3.489868343777544e-11,107.4327956542668
wavelength_sweep,1514.2857142857142,0.001,5,293,1.3182381449492883e-06,1.079460108083266e-06,1.3181860422244309e-09,1.5e-12,2.0574450367596886e-11,4.021641455923191e-12,2.0963816635543913e-11,62.95065756236954
wavelength_sweep,1540.8163265306123,0.001,5,293,4.4748728757790294e-07,3.601226015874114e-07,4.474696008593755e-10,1.5e-12,1.201376128093712e-11,4.021641455923191e-12,1.2669019698277524e-11,35.438385254102755
wavelength_sweep,1567.3469387755101,0.001,5,293,1.4660687468084604e-07,1.1598711442201706e-07,1.4660108011505914e-10,1.5e-12,6.923307451562796e-12,4.021641455923191e-12,8.006608899457057e-12,18.49735412018216
wavelength_sweep,1593.8775510204082,0.001,5,293,4.635740300121837e-08,3.6064896711320097e-08,4.6355570747294505e-11,1.5e-12,3.976622293785664e-12,4.021641455923191e-12,5.6557161233068585e-12,8.461452043196553
wavelength_sweep,1620.408163265306,0.001,5,293,1.4147480342109174e-08,1.0826179539206874e-08,1.4146921169793825e-11,1.5e-12,2.3439013509109e-12,4.021641455923191e-12,4.654833352849696e-12,3.3614353047063985
wavelength_sweep,1646.938775510204,0.001,5,293,4.167141497623483e-09,3.137482708882345e-09,4.166976793372036e-12,1.5e-12,1.5153545342910352e-12,4.021641455923191e-12,4.297662081247943e-12,1.3186185154246641
wavelength_sweep,1673.4693877551022,0.001,5,293,1.1846778395626446e-09,8.77815086675742e-10,1.1846310157442352e-12,1.5e-12,1.157910090397546e-12,4.021641455923191e-12,4.1850156245161686e-12,0.6414864976889081
wavelength_sweep,1700.0,0.001,5,293,3.250638665791957e-10,2.371047878938586e-10,3.2505101858714937e-13,1.5e-12,1.0321561637442868e-12,4.021641455923191e-12,4.151981014691099e-12,0.4395615038049326
power_sweep,900.0,1e-06,5,293,0.6169370988245106,0.85,6.169127146841809e-07,1.5e-12,4.4458946791935097e-10,4.021641455923191e-12,4.44607656912037e-10,1387.547436697056
power_sweep,900.0,1.778279410038923e-06,5,293,0.6169370988245106,0.85,1.0970431783140957e-06,1.5e-12,5.928689530847742e-10,4.021641455923191e-12,5.928825930416883e-10,1850.357374612544
power_sweep,900.0,3.162277660168379e-06,5,293,0.6169370988245106,0.85,1.9508492959196146e-06,1.5e-12,7.90602982294302e-10,4.021641455923191e-12,7.906132108766235e-10,2467.5160610540925
power_sweep,900.0,5.623413251903491e-06,5,293,0.6169370988245106,0.85,3.4691551350227807e-06,1.5e-12,1.05428566644022e-09,4.021641455923191e-12,1.0542933368191695e-09,3290.5041831045964
power_sweep,900.0,1e-05,5,293,0.6169370988245106,0.85,6.16912714684181e-06,1.5e-12,1.4059122657719847e-09,4.021641455923191e-12,1.4059180177549883e-09,4387.971822633625
power_sweep,900.0,1.778279410038923e-05,5,293,0.6169370988245106,0.85,1.0970431783140958e-05,1.5e-12,1.874813938639876e-09,4.021641455923191e-12,1.874818252022943e-09,5851.464946697514
power_sweep,900.0,3.1622776601683795e-05,5,293,0.6169370988245106,0.85,1.950849295919615e-05,1.5e-12,2.5001044188846288e-09,4.021641455923191e-12,2.5001076534674357e-09,7803.061773015867
power_sweep,900.0,5.623413251903491e-05,5,293,0.6169370988245106,0.85,3.4691551350227806e-05,1.5e-12,3.3339427130370714e-09,4.021641455923191e-12,3.3339451386327564e-09,10405.556002776559
power_sweep,900.0,0.0001,5,293,0.6169370988245106,0.85,6.169127146841809e-05,1.5e-12,4.44588397730768e-09,4.021641455923191e-12,4.445885796248162e-09,13876.036361635453
power_sweep,900.0,0.00017782794100389227,5,293,0.6169370988245106,0.85,0.00010970431783140955,1.5e-12,5.928681505561217e-09,4.021641455923191e-12,5.928682869574288e-09,18503.99519502161
power_sweep,900.0,0.00031622776601683794,5,293,0.6169370988245106,0.85,0.00019508492959196148,1.5e-12,7.90602380482531e-09,4.021641455923191e-12,7.906024827690871e-09,24675.476657836443
power_sweep,900.0,0.0005623413251903491,5,293,0.6169370988245106,0.85,0.000346915513502278,1.5e-12,1.054285215144981e-08,4.021641455923191e-12,1.0542852918490795e-08,32905.27883527932
power_sweep,900.0,0.001,5,293,0.6169370988245106,0.85,0.0006169127146841809,1.5e-12,1.405911927348266e-08,4.021641455923191e-12,1.4059119848682263e-08,43879.89595536474
power_sweep,900.0,0.0017782794100389228,5,293,0.6169370988245106,0.85,0.0010970431783140955,1.5e-12,1.8748136848578747e-08,4.021641455923191e-12,1.8748137279917603e-08,58514.78274533506
power_sweep,900.0,0.0031622776601683794,5,293,0.6169370988245106,0.85,0.001950849295919615,1.5e-12,2.50010422857497e-08,4.021641455923191e-12,2.5001042609208215e-08,78030.71767499374
power_sweep,900.0,0.005623413251903491,5,293,0.6169370988245106,0.85,0.0034691551350227805,1.5e-12,3.3339425703249586e-08,4.021641455923191e-12,3.3339425945809256e-08,104055.6349758881
power_sweep,900.0,0.01,5,293,0.6169370988245106,0.85,0.0061691271468418095,1.5e-12,4.445883870288692e-08,4.021641455923191e-12,4.445883888478101e-08,138760.4198195469
power_sweep,900.0,0.01778279410038923,5,293,0.6169370988245106,0.85,0.010970431783140956,1.5e-12,5.928681425308297e-08,4.021641455923191e-12,5.928681438948429e-08,185039.99409667696
power_sweep,900.0,0.03162277660168379,5,293,0.6169370988245106,0.85,0.01950849295919615,1.5e-12,7.90602374464411e-08,4.021641455923191e-12,7.906023754872767e-08,246754.79818375656
power_sweep,900.0,0.05623413251903491,5,293,0.6169370988245106,0.85,0.034691551350227806,1.5e-12,1.0542852106320277e-07,4.021641455923191e-12,1.0542852113990687e-07,329052.812053496
power_sweep,900.0,0.1,5,293,0.6169370988245106,0.85,0.0616912714684181,1.5e-12,1.4059119239640284e-07,4.021641455923191e-12,1.405911924539228e-07,438798.9773266681
power_sweep,900.0,0.1778279410038923,5,293,0.6169370988245106,0.85,0.10970431783140956,1.5e-12,1.8748136823200544e-07,4.021641455923191e-12,1.8748136827513932e-07,585147.8407812363
power_sweep,900.0,0.31622776601683794,5,293,0.6169370988245106,0.85,0.19508492959196147,1.5e-12,2.500104226671873e-07,4.021641455923191e-12,2.5001042269953317e-07,780307.1867444419
power_sweep,900.0,0.5623413251903491,5,293,0.6169370988245106,0.85,0.346915513502278,1.5e-12,3.333942568897837e-07,4.021641455923191e-12,3.3339425691403964e-07,1040556.3572537022
power_sweep,900.0,1.0,5,293,0.6169370988245106,0.85,0.616912714684181,1.5e-12,4.445883869218502e-07,4.021641455923191e-12,4.445883869400396e-07,1387604.2038157922
voltage_sweep,900.0,0.001,0,293,0.6169370988245106,0.85,0.0005860902438832851,1e-12,1.3703405225746065e-08,4.021641455923191e-12,1.3703405815876743e-08,42769.677316586654
voltage_sweep,900.0,0.001,1,293,0.6169370988245106,0.85,0.0006095446180668769,1.1000000000000002e-12,1.3974909528634072e-08,4.021641455923191e-12,1.3974910107299702e-08,43617.069053523664
voltage_sweep,900.0,0.001,3,293,0.6169370988245106,0.85,0.0006165125292917143,1.3000000000000001e-12,1.4054558520924992e-08,4.021641455923191e-12,1.405455909631125e-08,43865.66141043328
voltage_sweep,900.0,0.001,5,293,0.6169370988245106,0.85,0.0006169127146841809,1.5e-12,1.405911927348266e-08,4.021641455923191e-12,1.4059119848682263e-08,43879.89595536474
voltage_sweep,900.0,0.001,10,293,0.6169370988245106,0.85,0.0006169370795490837,1.5e-12,1.4059396902027e-08,4.021641455923191e-12,1.4059397477215245e-08,43880.76246147078
voltage_sweep,900.0,0.001,15,293,0.6169370988245106,0.85,0.0006169370988092736,1.5e-12,1.4059397121487508e-08,4.021641455923191e-12,1.4059397696675744e-08,43880.763146428704
voltage_sweep,900.0,0.001,20,293,0.6169370988245106,0.85,0.0006169370988244986,1.5e-12,1.4059397121660991e-08,4.021641455923191e-12,1.4059397696849227e-08,43880.76314697015
